Metric,Value
MAE,8.17921457053178
MSE,116.86610207262859
R2,0.9837283785137021
ME,-1.855157361023771
RMSE,10.810462620657296
PBIAS,-1.6436734349299318
NSE,0.9837283785137021
VE,0.9275319819729155
KGE,0.9462928274026999
NPE,0.07246801802708452
